CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
VS,7494,VIRGIN ATLANTIC AIRWAYS,2024-07-08T22:00:00,2024-07-08T21:48:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,FINAL,סופי
J2,331,AZERBAIJAN AIRLINES,2024-07-08T21:55:00,2024-07-08T21:55:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,,,NOT FINAL,לא סופי
LY,5140,EL AL ISRAEL AIRLINES,2024-07-08T18:00:00,2024-07-08T22:05:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DELAYED,עיכוב
AI,140,AIR INDIA,2024-07-08T22:10:00,2024-07-08T22:10:00,D,DEL,DELHI,דלהי,NEW DELHI,הודו,INDIA,3,27-33,A,ON TIME,בזמן
IZ,074,ARKIA  ISRAELI  AIRLINES,2024-07-08T22:10:00,2024-07-08T22:10:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3,,,NOT FINAL,לא סופי
U8,116,TUS AIRWAYS,2024-07-08T22:15:00,2024-07-08T22:15:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,362,EL AL ISRAEL AIRLINES,2024-07-08T22:20:00,2024-07-08T22:20:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
LV,600,AIRZENA,2024-07-08T22:25:00,2024-07-08T22:25:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,317-320,A,ON TIME,בזמן
IZ,170,ARKIA  ISRAELI  AIRLINES,2024-07-08T21:10:00,2024-07-08T22:30:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,DELAYED,עיכוב
IZ,828,ARKIA  ISRAELI  AIRLINES,2024-07-08T22:20:00,2024-07-08T22:30:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
EK,2450,EMIRATES,2024-07-08T22:35:00,2024-07-08T22:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1625,FLYDUBAI,2024-07-08T22:35:00,2024-07-08T22:35:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
H7,457,HISKY,2024-07-08T22:35:00,2024-07-08T22:35:00,A,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,,,NOT FINAL,לא סופי
IZ,388,ARKIA  ISRAELI  AIRLINES,2024-07-08T22:40:00,2024-07-08T22:40:00,A,BEG,BELGRADE,בלגרד,BELGRADE,סרביה,SERBIA,3,,,NOT FINAL,לא סופי
6H,358,ISRAIR AIRLINES,2024-07-08T22:40:00,2024-07-08T22:40:00,A,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,083,EL AL ISRAEL AIRLINES,2024-07-08T22:45:00,2024-07-08T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
LY,5109,EL AL ISRAEL AIRLINES,2024-07-08T21:00:00,2024-07-08T22:45:00,D,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,1,301-310,A,ON TIME,בזמן
QF,5018,QANTAS AIRWAYS,2024-07-08T22:45:00,2024-07-08T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
TG,4586,THAI AIRWAYS,2024-07-08T22:45:00,2024-07-08T22:45:00,D,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,78-99,D,ON TIME,בזמן
VY,7845,VUELING AIRLINES S.A.,2024-07-08T22:50:00,2024-07-08T22:50:00,D,BCN,BARCELONA,ברצלונה,BARCELONA,ספרד,SPAIN,3,37-39,B,ON TIME,בזמן
AF,7074,AIR FRANCE,2024-07-08T22:55:00,2024-07-08T22:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,328,EL AL ISRAEL AIRLINES,2024-07-08T22:55:00,2024-07-08T22:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3162,SAS,2024-07-08T22:55:00,2024-07-08T22:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
ET,414,ETHIOPIAN AIRLINES,2024-07-08T23:00:00,2024-07-08T23:00:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
IZ,335,ARKIA  ISRAELI  AIRLINES,2024-07-08T23:10:00,2024-07-08T23:10:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,34-36,B,ON TIME,בזמן
J2,332,AZERBAIJAN AIRLINES,2024-07-08T23:10:00,2024-07-08T23:10:00,D,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3,40-43,B,ON TIME,בזמן
LH,690,LUFTHANSA,2024-07-08T23:10:00,2024-07-08T23:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
NO,9051,NEOS,2024-07-08T23:10:00,2024-07-08T23:10:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3,,,NOT FINAL,לא סופי
SN,7169,BRUSSELS AIRLINES,2024-07-08T23:10:00,2024-07-08T23:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
UA,9122,UNITED AIRLINES,2024-07-08T23:10:00,2024-07-08T23:10:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
RO,155,TAROM - ROMANIAN AIR TRANSPORT,2024-07-08T23:20:00,2024-07-08T23:20:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
UA,091,UNITED AIRLINES,2024-07-08T23:25:00,2024-07-08T23:25:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,12-20,A,ON TIME,בזמן
EK,2345,EMIRATES,2024-07-08T23:30:00,2024-07-08T23:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
FZ,1807,FLYDUBAI,2024-07-08T23:30:00,2024-07-08T23:30:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,,,NOT FINAL,לא סופי
H7,458,HISKY,2024-07-08T23:35:00,2024-07-08T23:35:00,D,RMO,CHISINAU,קישינב,CHISINAU,מולדוביה,MOLDOVA,3,21-23,A,ON TIME,בזמן
6H,346,ISRAIR AIRLINES,2024-07-08T23:35:00,2024-07-08T23:35:00,A,NAP,NAPLES-CAPODICHINO,נאפולי,NAPLES,איטליה,ITALY,3,,,NOT FINAL,לא סופי
6H,716,ISRAIR AIRLINES,2024-07-08T23:35:00,2024-07-08T23:35:00,A,VAR,VARNA,וארנה,VARNA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
BZ,751,BLUE BIRD AIRWAYS,2024-07-08T23:45:00,2024-07-08T23:45:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,CANCELED,מבוטלת
LY,544,EL AL ISRAEL AIRLINES,2024-07-08T23:45:00,2024-07-08T23:45:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,5138,EL AL ISRAEL AIRLINES,2024-07-08T23:50:00,2024-07-08T23:50:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
EK,2451,EMIRATES,2024-07-08T23:55:00,2024-07-08T23:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,44-47,B,ON TIME,בזמן
FZ,1626,FLYDUBAI,2024-07-08T23:55:00,2024-07-08T23:55:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,44-47,B,ON TIME,בזמן
6H,728,ISRAIR AIRLINES,2024-07-08T23:55:00,2024-07-08T23:55:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
6H,886,ISRAIR AIRLINES,2024-07-09T00:00:00,2024-07-09T00:00:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,084,EL AL ISRAEL AIRLINES,2024-07-08T23:50:00,2024-07-09T00:04:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
QF,5019,QANTAS AIRWAYS,2024-07-08T23:50:00,2024-07-09T00:04:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
TG,4585,THAI AIRWAYS,2024-07-08T23:50:00,2024-07-09T00:04:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
VN,3295,VIETNAM AIRLINES,2024-07-08T23:50:00,2024-07-09T00:04:00,A,BKK,BANGKOK INTL.-SUVARNABHUMI,בנגקוק,BANGKOK,תאילנד,THAILAND,3,,,FINAL,סופי
AF,6174,AIR FRANCE,2024-07-09T00:10:00,2024-07-09T00:10:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,224,EL AL ISRAEL AIRLINES,2024-07-09T00:10:00,2024-07-09T00:10:00,A,NCE,NICE,ניס,NICE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AR,7851,AEROLINEAS ARGENTINAS S.A.,2024-07-09T00:15:00,2024-07-09T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6467,JETBLUE AIRWAYS CORPORATION,2024-07-09T00:15:00,2024-07-09T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7437,DELTA AIRLINES,2024-07-09T00:15:00,2024-07-09T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,017,EL AL ISRAEL AIRLINES,2024-07-09T00:15:00,2024-07-09T00:15:00,D,MIA,MIAMI INTERNATIONAL,מיאמי,MIAMI,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
RO,156,TAROM - ROMANIAN AIR TRANSPORT,2024-07-09T00:20:00,2024-07-09T00:20:00,D,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,24-26,A,ON TIME,בזמן
LH,682,LUFTHANSA,2024-07-09T00:25:00,2024-07-09T00:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SN,7165,BRUSSELS AIRLINES,2024-07-09T00:25:00,2024-07-09T00:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
B6,6483,JETBLUE AIRWAYS CORPORATION,2024-07-09T00:30:00,2024-07-09T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7443,DELTA AIRLINES,2024-07-09T00:30:00,2024-07-09T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,027,EL AL ISRAEL AIRLINES,2024-07-09T00:30:00,2024-07-09T00:30:00,D,EWR,NEW YORK - NEWARK,ניוארק,NEWARK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
BZ,751,BLUE BIRD AIRWAYS,2024-07-09T00:45:00,2024-07-09T00:45:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,NOT FINAL,לא סופי
LY,5134,EL AL ISRAEL AIRLINES,2024-07-09T00:45:00,2024-07-09T00:45:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
OS,859,AUSTRIAN AIRLINES,2024-07-09T00:45:00,2024-07-09T00:45:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
EK,2346,EMIRATES,2024-07-09T00:50:00,2024-07-09T00:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,47-50,B,ON TIME,בזמן
ET,405,ETHIOPIAN AIRLINES,2024-07-09T00:50:00,2024-07-09T00:50:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,51-55,B,ON TIME,בזמן
FZ,1808,FLYDUBAI,2024-07-09T00:50:00,2024-07-09T00:50:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3,47-50,B,ON TIME,בזמן
LY,8807,EL AL ISRAEL AIRLINES,2024-07-09T00:50:00,2024-07-09T00:50:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,51-55,B,ON TIME,בזמן
A3,526,AEGEAN  AIRLINES,2024-07-09T00:55:00,2024-07-09T00:55:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LY,572,EL AL ISRAEL AIRLINES,2024-07-09T00:55:00,2024-07-09T00:55:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3,,,NOT FINAL,לא סופי
AM,7869,AERO MEXICO,2024-07-09T01:00:00,2024-07-09T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AR,7853,AEROLINEAS ARGENTINAS S.A.,2024-07-09T01:00:00,2024-07-09T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6451,JETBLUE AIRWAYS CORPORATION,2024-07-09T01:00:00,2024-07-09T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7424,DELTA AIRLINES,2024-07-09T01:00:00,2024-07-09T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,001,EL AL ISRAEL AIRLINES,2024-07-09T01:00:00,2024-07-09T01:00:00,D,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
AM,7875,AERO MEXICO,2024-07-09T01:05:00,2024-07-09T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
B6,6461,JETBLUE AIRWAYS CORPORATION,2024-07-09T01:05:00,2024-07-09T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
DL,7428,DELTA AIRLINES,2024-07-09T01:05:00,2024-07-09T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
LY,005,EL AL ISRAEL AIRLINES,2024-07-09T01:05:00,2024-07-09T01:05:00,D,LAX,LOS ANGELES,לוס אנג'לס,LOS ANGELES,ארצות הברית,UNITED STATES,3,78-99,D,ON TIME,בזמן
A3,458,AEGEAN  AIRLINES,2024-07-09T01:50:00,2024-07-09T01:50:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3,,,NOT FINAL,לא סופי
BZ,707,BLUE BIRD AIRWAYS,2024-07-09T01:50:00,2024-07-09T01:50:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
A3,928,AEGEAN  AIRLINES,2024-07-09T02:00:00,2024-07-09T02:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
EK,4977,EMIRATES,2024-07-09T02:00:00,2024-07-09T02:00:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
FB,571,BULGARIA  AIR,2024-07-09T02:00:00,2024-07-09T02:00:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,364,EL AL ISRAEL AIRLINES,2024-07-09T02:00:00,2024-07-09T02:00:00,A,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,NOT FINAL,לא סופי
6H,898,ISRAIR AIRLINES,2024-07-09T02:00:00,2024-07-09T02:00:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
LY,210,EL AL ISRAEL AIRLINES,2024-07-09T02:05:00,2024-07-09T02:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
SK,3198,SAS,2024-07-09T02:05:00,2024-07-09T02:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
VS,7490,VIRGIN ATLANTIC AIRWAYS,2024-07-09T02:05:00,2024-07-09T02:05:00,A,LHR,LONDON - HEATHROW,לונדון,LONDON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
AR,7874,AEROLINEAS ARGENTINAS S.A.,2024-07-09T02:10:00,2024-07-09T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,384,EL AL ISRAEL AIRLINES,2024-07-09T02:10:00,2024-07-09T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3166,SAS,2024-07-09T02:10:00,2024-07-09T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8897,AIR PORTUGAL,2024-07-09T02:10:00,2024-07-09T02:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
FB,6081,BULGARIA  AIR,2024-07-09T02:15:00,2024-07-09T02:15:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
LY,344,EL AL ISRAEL AIRLINES,2024-07-09T02:20:00,2024-07-09T02:20:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
LY,5102,EL AL ISRAEL AIRLINES,2024-07-09T02:20:00,2024-07-09T02:20:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
SK,3190,SAS,2024-07-09T02:20:00,2024-07-09T02:20:00,A,ZRH,ZURICH,ציריך,ZURICH,שוויץ,SWITZERLAND,3,,,NOT FINAL,לא סופי
IZ,514,ARKIA  ISRAELI  AIRLINES,2024-07-09T00:30:00,2024-07-09T02:50:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,DELAYED,עיכוב
LY,5164,EL AL ISRAEL AIRLINES,2024-07-09T02:50:00,2024-07-09T02:50:00,A,OPO,PORTO,פורטו,PORTO,פורטוגל,PORTUGAL,3,,,NOT FINAL,לא סופי
AM,7850,AERO MEXICO,2024-07-09T02:55:00,2024-07-09T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,336,EL AL ISRAEL AIRLINES,2024-07-09T02:55:00,2024-07-09T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,548,EL AL ISRAEL AIRLINES,2024-07-09T02:55:00,2024-07-09T02:55:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3,,,NOT FINAL,לא סופי
SK,3152,SAS,2024-07-09T02:55:00,2024-07-09T02:55:00,A,AMS,AMSTERDAM,אמסטרדם,AMSTERDAM,הולנד,NETHERLANDS,3,,,NOT FINAL,לא סופי
LY,2524,EL AL ISRAEL AIRLINES,2024-07-09T03:05:00,2024-07-09T03:05:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3,,,NOT FINAL,לא סופי
AZ,810,ITALIA TRASPORTO AEREO,2024-07-09T03:10:00,2024-07-09T03:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
JU,7381,AIR SERBIA,2024-07-09T03:10:00,2024-07-09T03:10:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LY,2374,EL AL ISRAEL AIRLINES,2024-07-09T03:10:00,2024-07-09T03:10:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SK,3156,SAS,2024-07-09T03:10:00,2024-07-09T03:10:00,A,BER,BERLIN BRANDENBURG INTL,ברלין,BERLIN,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
AF,6170,AIR FRANCE,2024-07-09T03:15:00,2024-07-09T03:15:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,322,EL AL ISRAEL AIRLINES,2024-07-09T03:15:00,2024-07-09T03:15:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
LY,5110,EL AL ISRAEL AIRLINES,2024-07-09T03:15:00,2024-07-09T03:15:00,A,TBS,TBILISI,טביליסי,TBILISI,גיאורגיה,GEORGIA,3,,,NOT FINAL,לא סופי
TP,8907,AIR PORTUGAL,2024-07-09T03:15:00,2024-07-09T03:15:00,A,MRS,MARSEILLE,מרסיי,MARSEILLE,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AR,7865,AEROLINEAS ARGENTINAS S.A.,2024-07-09T04:00:00,2024-07-09T03:18:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
B6,6454,JETBLUE AIRWAYS CORPORATION,2024-07-09T04:00:00,2024-07-09T03:18:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
DL,7427,DELTA AIRLINES,2024-07-09T04:00:00,2024-07-09T03:18:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,004,EL AL ISRAEL AIRLINES,2024-07-09T04:00:00,2024-07-09T03:18:00,A,JFK,NEW YORK - J.F.KENNEDY,ניו יורק,NEW YORK,ארצות הברית,UNITED STATES,3,,,FINAL,סופי
LY,314,EL AL ISRAEL AIRLINES,2024-07-09T03:35:00,2024-07-09T03:35:00,A,LTN,LUTON,לונדון לוטון,LONDON LUTON,בריטניה,UNITED KINGDOM,3,,,NOT FINAL,לא סופי
LY,2368,EL AL ISRAEL AIRLINES,2024-07-09T03:40:00,2024-07-09T03:40:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3,,,NOT FINAL,לא סופי
LY,388,EL AL ISRAEL AIRLINES,2024-07-09T03:40:00,2024-07-09T03:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
SK,3180,SAS,2024-07-09T03:40:00,2024-07-09T03:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
TP,8901,AIR PORTUGAL,2024-07-09T03:40:00,2024-07-09T03:40:00,A,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,3,,,NOT FINAL,לא סופי
LO,151,LOT POLISH AIRLINES,2024-07-09T03:50:00,2024-07-09T03:50:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
LY,9256,EL AL ISRAEL AIRLINES,2024-07-09T03:50:00,2024-07-09T03:50:00,A,WAW,WARSAW,ורשה,WARSAW,פולין,POLAND,3,,,NOT FINAL,לא סופי
NO,1382,NEOS,2024-07-09T03:50:00,2024-07-09T03:50:00,A,VRN,VILLAFRANCA-VERONA,ורונה,VERONA,איטליה,ITALY,3,,,NOT FINAL,לא סופי
AF,7072,AIR FRANCE,2024-07-09T03:55:00,2024-07-09T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
AM,7854,AERO MEXICO,2024-07-09T03:55:00,2024-07-09T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
ET,404,ETHIOPIAN AIRLINES,2024-07-09T03:55:00,2024-07-09T03:55:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,NOT FINAL,לא סופי
LY,326,EL AL ISRAEL AIRLINES,2024-07-09T03:55:00,2024-07-09T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
SK,3158,SAS,2024-07-09T03:55:00,2024-07-09T03:55:00,A,CDG,PARIS-CHARLES DE GAULLE,פריס,PARIS,צרפת,FRANCE,3,,,NOT FINAL,לא סופי
G2,607,GULLIVAIR,2024-07-09T04:00:00,2024-07-09T04:00:00,A,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
OU,356,CROATIA AIR,2024-07-09T04:20:00,2024-07-09T04:20:00,A,ZAG,ZAGREB,זאגרב,ZAGREB,קרואטיה,CROATIA,3,,,NOT FINAL,לא סופי
