CHOPER,CHFLTN,CHOPERD,CHSTOL,CHPTOL,CHAORD,CHLOC1,CHLOC1D,CHLOC1TH,CHLOC1T,CHLOC1CH,CHLOCCT,CHTERM,CHCINT,CHCKZN,CHRMINE,CHRMINH
W6,4427,WIZZAIR,2024-07-11T15:15:00,2024-07-11T15:15:00,A,SOF,SOFIA,סופיה,SOFIA,בולגריה,BULGARIA,3,,,NOT FINAL,לא סופי
OS,858,AUSTRIAN AIRLINES,2024-07-11T15:20:00,2024-07-11T15:20:00,D,VIE,VIENNA,וינה,VIENNA,אוסטריה,AUSTRIA,3,,,ON TIME,בזמן
AC,9020,AIR CANADA,2024-07-11T15:25:00,2024-07-11T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
IZ,164,ARKIA  ISRAELI  AIRLINES,2024-07-11T15:25:00,2024-07-11T15:25:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
LH,686,LUFTHANSA,2024-07-11T15:25:00,2024-07-11T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
NH,5459,ALL NIPPON AIRWAYS,2024-07-11T15:25:00,2024-07-11T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
SN,7173,BRUSSELS AIRLINES,2024-07-11T15:25:00,2024-07-11T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
UA,9120,UNITED AIRLINES,2024-07-11T15:25:00,2024-07-11T15:25:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3,,,NOT FINAL,לא סופי
XR,432,CORENDON EUROPE,2024-07-11T15:25:00,2024-07-11T15:25:00,A,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3,,,NOT FINAL,לא סופי
ET,419,ETHIOPIAN AIRLINES,2024-07-11T15:35:00,2024-07-11T15:35:00,D,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3,,,ON TIME,בזמן
IZ,816,ARKIA  ISRAELI  AIRLINES,2024-07-11T15:35:00,2024-07-11T15:35:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1,,,NOT FINAL,לא סופי
